method,subject,n_channels,score
MDM,32,62,0.9299999999999999
TS-LR,32,62,0.96
EEGNet,32,62,0.89
CSP+LDA,32,16,0.97
MDM,32,16,0.95
TS-LR,32,16,0.97
EEGNet,32,16,0.97
CSP+LDA,32,12,0.97
MDM,32,12,0.97
TS-LR,32,12,0.99
EEGNet,32,12,0.96
CSP+LDA,32,8,0.95
MDM,32,8,0.96
TS-LR,32,8,0.95
EEGNet,32,8,0.9400000000000001
CSP+LDA,32,4,0.93
MDM,32,4,0.9400000000000001
TS-LR,32,4,0.93
EEGNet,32,4,0.93
CSP+LDA,33,62,0.9
MDM,33,62,0.8299999999999998
TS-LR,33,62,0.96
EEGNet,33,62,0.89
CSP+LDA,33,16,0.9400000000000001
MDM,33,16,0.8800000000000001
TS-LR,33,16,0.96
EEGNet,33,16,0.9400000000000001
CSP+LDA,33,12,0.93
MDM,33,12,0.9099999999999999
TS-LR,33,12,0.9200000000000002
EEGNet,33,12,0.9
CSP+LDA,33,8,0.8800000000000001
MDM,33,8,0.8400000000000001
TS-LR,33,8,0.9
EEGNet,33,8,0.9400000000000001
CSP+LDA,33,4,0.8099999999999999
MDM,33,4,0.8
TS-LR,33,4,0.8099999999999999
EEGNet,33,4,0.9099999999999999
CSP+LDA,34,62,0.5
MDM,34,62,0.51
TS-LR,34,62,0.5900000000000001
EEGNet,34,62,0.55
CSP+LDA,34,16,0.44000000000000006
MDM,34,16,0.48999999999999994
TS-LR,34,16,0.5800000000000001
EEGNet,34,16,0.5
CSP+LDA,34,12,0.51
MDM,34,12,0.48999999999999994
TS-LR,34,12,0.59
EEGNet,34,12,0.53
CSP+LDA,34,8,0.58
MDM,34,8,0.5
TS-LR,34,8,0.63
EEGNet,34,8,0.57
CSP+LDA,34,4,0.47000000000000003
MDM,34,4,0.41
TS-LR,34,4,0.45
EEGNet,34,4,0.51
CSP+LDA,35,62,0.78
MDM,35,62,0.6
TS-LR,35,62,0.79
EEGNet,35,62,0.68
CSP+LDA,35,16,0.55
MDM,35,16,0.47000000000000003
TS-LR,35,16,0.5599999999999999
EEGNet,35,16,0.43
CSP+LDA,35,12,0.5
MDM,35,12,0.5
TS-LR,35,12,0.54
EEGNet,35,12,0.49000000000000005
CSP+LDA,35,8,0.55
MDM,35,8,0.4800000000000001
TS-LR,35,8,0.53
EEGNet,35,8,0.52
CSP+LDA,35,4,0.5199999999999999
MDM,35,4,0.48999999999999994
TS-LR,35,4,0.53
EEGNet,35,4,0.5900000000000001
CSP+LDA,36,62,0.97
MDM,36,62,0.96
TS-LR,36,62,0.96
EEGNet,36,62,0.93
CSP+LDA,36,16,0.97
MDM,36,16,0.96
TS-LR,36,16,0.95
EEGNet,36,16,0.95
CSP+LDA,36,12,0.95
MDM,36,12,0.95
TS-LR,36,12,0.95
EEGNet,36,12,0.9399999999999998
CSP+LDA,36,8,0.9299999999999999
MDM,36,8,0.9400000000000001
TS-LR,36,8,0.9400000000000001
EEGNet,36,8,0.95
CSP+LDA,36,4,0.93
MDM,36,4,0.9199999999999999
TS-LR,36,4,0.9400000000000001
EEGNet,36,4,0.9399999999999998
CSP+LDA,37,62,0.9800000000000001
MDM,37,62,0.8800000000000001
TS-LR,37,62,0.95
EEGNet,37,62,0.95
CSP+LDA,37,16,0.97
MDM,37,16,0.9400000000000001
TS-LR,37,16,0.95
EEGNet,37,16,0.9400000000000001
CSP+LDA,37,12,0.97
MDM,37,12,0.9400000000000001
TS-LR,37,12,0.9299999999999999
EEGNet,37,12,0.9400000000000001
CSP+LDA,37,8,0.9199999999999999
MDM,37,8,0.9400000000000001
TS-LR,37,8,0.9099999999999999
EEGNet,37,8,0.93
CSP+LDA,37,4,0.93
MDM,37,4,0.95
TS-LR,37,4,0.9400000000000001
EEGNet,37,4,0.9399999999999998
CSP+LDA,38,62,0.5
MDM,38,62,0.56
TS-LR,38,62,0.6799999999999999
EEGNet,38,62,0.5900000000000001
CSP+LDA,38,16,0.5
MDM,38,16,0.65
TS-LR,38,16,0.67
